,level_0,index,MIA_MHI,BOS_MHI,PHO_MHI,NY_MHI,SEA_MHI,LA_MHI,HOU_MHI,CHI_MHI
0,0,1997-01-31,30000.0,25227.0,30746.0,27667.0,37030.0,31123.0,29643.0,29711.0
1,289,1997-01-31,30000.0,25227.0,30746.0,27667.0,37030.0,31123.0,29643.0,29711.0
2,1,1997-02-28,30000.0,25227.0,30746.0,27667.0,37030.0,31123.0,29643.0,29711.0
3,290,1997-02-28,30000.0,25227.0,30746.0,27667.0,37030.0,31123.0,29643.0,29711.0
4,2,1997-03-31,30000.0,25227.0,30746.0,27667.0,37030.0,31123.0,29643.0,29711.0
5,291,1997-03-31,30000.0,25227.0,30746.0,27667.0,37030.0,31123.0,29643.0,29711.0
6,3,1997-04-30,30000.0,25227.0,30746.0,27667.0,37030.0,31123.0,29643.0,29711.0
7,292,1997-04-30,30000.0,25227.0,30746.0,27667.0,37030.0,31123.0,29643.0,29711.0
8,4,1997-05-31,30000.0,25227.0,30746.0,27667.0,37030.0,31123.0,29643.0,29711.0
9,293,1997-05-31,30000.0,25227.0,30746.0,27667.0,37030.0,31123.0,29643.0,29711.0
10,294,1997-06-30,30000.0,25227.0,30746.0,27667.0,37030.0,31123.0,29643.0,29711.0
11,5,1997-06-30,30000.0,25227.0,30746.0,27667.0,37030.0,31123.0,29643.0,29711.0
12,295,1997-07-31,30000.0,25227.0,30746.0,27667.0,37030.0,31123.0,29643.0,29711.0
13,6,1997-07-31,30000.0,25227.0,30746.0,27667.0,37030.0,31123.0,29643.0,29711.0
14,296,1997-08-31,30000.0,25227.0,30746.0,27667.0,37030.0,31123.0,29643.0,29711.0
15,7,1997-08-31,30000.0,25227.0,30746.0,27667.0,37030.0,31123.0,29643.0,29711.0
16,297,1997-09-30,30000.0,25227.0,30746.0,27667.0,37030.0,31123.0,29643.0,29711.0
17,8,1997-09-30,30000.0,25227.0,30746.0,27667.0,37030.0,31123.0,29643.0,29711.0
18,298,1997-10-31,30000.0,25227.0,30746.0,27667.0,37030.0,31123.0,29643.0,29711.0
19,9,1997-10-31,30000.0,25227.0,30746.0,27667.0,37030.0,31123.0,29643.0,29711.0
20,299,1997-11-30,30000.0,25227.0,30746.0,27667.0,37030.0,31123.0,29643.0,29711.0
21,10,1997-11-30,30000.0,25227.0,30746.0,27667.0,37030.0,31123.0,29643.0,29711.0
