Date,Boston
2008-04,322067.0
2008-05,333067.0
2008-06,344167.0
2008-07,351000.0
2008-08,353333.0
2008-09,339233.0
2008-10,325900.0
2008-11,312567.0
2008-12,306667.0
2009-01,305000.0
2009-02,300000.0
2009-03,296333.0
2009-04,294833.0
2009-05,299833.0
2009-06,313500.0
2009-07,323300.0
2009-08,329967.0
2009-09,323300.0
2009-10,311083.0
2009-11,298583.0
2009-12,300750.0
2010-01,308000.0
2010-02,309833.0
2010-03,306333.0
2010-04,304917.0
2010-05,312083.0
2010-06,328417.0
2010-07,345167.0
2010-08,356083.0
2010-09,344667.0
2010-10,329000.0
2010-11,319917.0
2010-12,316333.0
2011-01,314167.0
2011-02,302500.0
2011-03,300833.0
2011-04,304167.0
2011-05,317667.0
2011-06,332667.0
2011-07,344833.0
2011-08,349667.0
2011-09,341333.0
2011-10,322000.0
2011-11,311000.0
2011-12,302667.0
2012-01,302333.0
2012-02,292417.0
2012-03,293417.0
2012-04,300243.0
2012-05,316160.0
2012-06,337743.0
2012-07,350917.0
2012-08,353917.0
2012-09,336333.0
2012-10,321333.0
2012-11,316667.0
2012-12,318167.0
2013-01,315750.0
2013-02,307417.0
2013-03,304250.0
2013-04,315000.0
2013-05,329833.0
2013-06,350667.0
2013-07,360933.0
2013-08,367767.0
2013-09,356933.0
2013-10,346067.0
2013-11,335700.0
2013-12,334650.0
2014-01,338333.0
2014-02,333227.0
2014-03,332427.0
2014-04,331010.0
2014-05,344817.0
2014-06,361667.0
2014-07,375000.0
2014-08,380000.0
2014-09,366667.0
2014-10,353300.0
2014-11,343550.0
2014-12,345383.0
2015-01,350417.0
2015-02,346000.0
2015-03,342533.0
2015-04,343867.0
2015-05,358033.0
2015-06,376333.0
2015-07,389000.0
2015-08,395667.0
2015-09,382333.0
2015-10,366667.0
2015-11,356667.0
2015-12,358333.0
2016-01,361667.0
2016-02,350667.0
2016-03,348167.0
2016-04,353167.0
2016-05,372500.0
2016-06,393333.0
2016-07,405000.0
2016-08,408333.0
2016-09,396667.0
2016-10,383000.0
2016-11,379000.0
2016-12,379000.0
2017-01,382750.0
2017-02,375083.0
2017-03,378383.0
2017-04,383300.0
2017-05,399967.0
2017-06,415000.0
2017-07,426667.0
2017-08,428333.0
2017-09,416667.0
2017-10,406667.0
2017-11,405000.0
2017-12,410000.0
2018-01,411000.0
2018-02,405667.0
2018-03,405667.0
2018-04,417667.0
2018-05,434667.0
2018-06,454667.0
2018-07,463333.0
2018-08,465743.0
2018-09,449076.0
2018-10,434743.0
2018-11,425667.0
2018-12,422333.0
2019-01,423500.0
2019-02,419817.0
2019-03,424817.0
2019-04,429650.0
2019-05,446567.0
2019-06,464900.0
2019-07,476567.0
2019-08,476667.0
2019-09,462083.0
2019-10,450417.0
2019-11,442650.0
2019-12,445567.0
2020-01,448900.0
2020-02,448333.0
2020-03,456667.0
2020-04,472333.0
2020-05,486650.0
2020-06,496650.0
2020-07,502650.0
2020-08,515000.0
2020-09,518333.0
2020-10,513333.0
2020-11,505667.0
2020-12,503667.0
2021-01,503633.0
2021-02,505092.0
2021-03,512092.0
2021-04,530458.0
2021-05,554000.0
2021-06,579000.0
2021-07,590667.0
2021-08,593333.0
2021-09,575833.0
2021-10,562500.0
2021-11,557500.0
2021-12,560000.0
2022-01,560000.0
2022-02,553000.0
2022-03,563000.0
2022-04,588000.0
2022-05,619167.0
2022-06,647500.0
2022-07,655833.0
2022-08,652592.0
2022-09,628092.0
2022-10,607992.0
2022-11,597067.0
2022-12,586567.0
2023-01,577583.0
2023-02,561250.0
2023-03,571250.0
2023-04,593000.0
