DATE,MIA_UR,BOS_UR,PHO_UR,NY_UR,SEA_UR,LA_UR,HOU_UR,CHI_UR
1989-12,7.0,5.3,4.4,5.4,4.8,5.0,5.2,6.9
1990-01,7.1,5.4,4.4,5.4,4.6,4.9,5.1,6.6
1990-02,7.3,5.4,4.4,5.1,4.4,4.9,4.8,6.3
1990-03,7.5,5.3,4.5,4.9,3.7,5.0,4.8,6.5
1990-04,7.3,5.5,4.5,5.0,3.9,5.0,4.9,6.1
1990-05,7.3,5.7,4.5,4.9,3.9,5.1,5.3,6.4
1990-06,7.7,6.0,4.4,5.4,3.7,5.2,5.4,6.4
1990-07,7.9,6.2,4.4,5.3,3.5,5.4,5.4,6.5
1990-08,8.3,6.6,4.3,5.6,3.9,5.6,5.5,6.4
1990-09,7.9,6.1,4.2,5.7,3.4,5.9,5.0,6.0
1990-10,7.9,6.4,4.2,5.8,4.0,6.1,5.3,6.1
1990-11,7.8,6.6,4.2,5.8,3.8,6.3,5.1,6.3
1990-12,7.7,7.7,4.1,6.9,4.6,6.6,5.6,7.3
1991-01,7.7,7.9,4.2,7.1,5.0,6.8,5.5,7.1
1991-02,8.1,7.9,4.2,7.2,4.8,7.0,5.5,7.3
1991-03,7.9,7.5,4.4,6.8,4.1,7.2,5.2,6.8
1991-04,8.2,8.1,4.6,7.3,4.4,7.3,5.5,7.0
1991-05,8.2,8.4,4.9,7.3,4.9,7.4,6.1,7.6
1991-06,8.3,8.3,5.1,7.5,4.8,7.5,6.0,7.3
1991-07,8.4,8.3,5.4,7.4,4.7,7.6,6.0,7.2
1991-08,8.8,8.5,5.7,7.4,4.9,7.7,6.0,7.2
1991-09,8.6,7.9,6.0,7.4,4.9,7.8,5.8,7.5
1991-10,8.2,7.8,6.3,7.4,5.2,7.9,5.9,8.0
1991-11,8.4,7.8,6.6,7.7,5.2,8.1,6.0,8.5
1991-12,8.4,8.8,6.8,8.9,5.9,8.3,7.1,9.2
1992-01,8.6,8.7,6.9,9.2,6.1,8.4,7.0,9.1
1992-02,8.9,8.4,6.9,8.9,5.8,8.6,6.9,8.7
1992-03,8.6,7.9,6.9,8.4,5.1,8.8,6.6,8.3
1992-04,8.7,8.2,6.8,9.0,5.6,9.0,7.1,8.4
1992-05,9.1,8.8,6.6,9.5,6.0,9.2,8.1,8.9
1992-06,9.2,8.5,6.5,9.8,5.7,9.4,7.7,8.2
1992-07,9.2,8.3,6.4,9.4,5.6,9.5,7.6,7.5
1992-08,9.4,8.5,6.3,9.4,6.2,9.5,7.6,7.1
1992-09,8.9,7.7,6.3,9.0,5.9,9.5,7.1,6.5
1992-10,8.7,7.6,6.2,8.9,6.3,9.6,7.4,7.0
1992-11,8.6,7.4,6.1,8.8,6.1,9.6,7.1,7.4
1992-12,8.7,8.1,5.9,9.7,6.7,9.6,7.8,8.3
1993-01,8.7,7.8,5.7,9.5,6.7,9.5,7.8,8.4
1993-02,8.8,7.4,5.5,8.8,6.3,9.5,7.3,8.2
1993-03,8.5,6.8,5.3,8.3,5.8,9.4,7.2,8.1
1993-04,8.5,6.8,5.1,8.3,6.1,9.3,7.2,8.1
1993-05,8.8,7.1,5.0,8.4,6.3,9.2,8.1,8.6
1993-06,8.9,6.9,4.9,8.5,6.1,9.2,7.8,7.8
1993-07,8.8,6.5,4.8,8.2,5.8,9.1,7.4,7.4
1993-08,8.9,6.5,4.8,8.0,5.9,9.1,7.4,7.3
1993-09,8.8,6.1,4.8,8.0,5.6,9.1,7.3,7.0
1993-10,8.2,5.7,4.8,7.6,5.6,9.1,7.3,6.5
1993-11,8.1,5.5,4.8,7.5,5.3,9.1,6.6,6.5
1993-12,8.7,6.6,4.9,8.4,6.1,9.1,7.4,7.8
1994-01,8.5,6.3,4.8,8.3,6.0,9.0,7.3,7.4
1994-02,8.9,6.1,4.8,8.0,5.6,9.0,7.1,7.0
1994-03,8.7,5.6,4.8,7.4,5.0,8.8,6.8,6.4
1994-04,8.2,5.5,4.7,7.0,5.0,8.7,6.6,5.8
1994-05,8.4,5.9,4.7,7.2,5.2,8.6,7.3,6.2
1994-06,8.5,6.0,4.7,7.5,5.0,8.4,7.1,6.0
1994-07,8.5,5.8,4.6,7.1,4.8,8.2,6.9,5.7
1994-08,8.7,5.8,4.5,6.8,4.9,8.0,6.7,5.3
1994-09,8.3,5.3,4.4,6.6,4.7,7.8,6.2,5.4
1994-10,7.7,5.0,4.2,6.3,4.7,7.6,6.0,4.9
1994-11,7.4,4.8,4.0,5.9,4.2,7.4,5.5,4.8
1994-12,7.7,5.7,3.9,7.0,5.2,7.3,6.3,6.1
1995-01,7.2,5.3,3.8,6.8,5.2,7.2,5.8,5.8
1995-02,7.6,5.2,3.7,6.6,5.0,7.2,5.6,5.7
1995-03,8.0,5.1,3.7,6.6,4.7,7.3,5.9,6.0
1995-04,7.8,5.0,3.7,6.6,5.0,7.3,5.8,5.5
1995-05,7.8,5.3,3.7,6.6,5.3,7.4,6.5,5.4
1995-06,8.1,5.3,3.6,7.1,5.2,7.5,6.5,5.4
1995-07,8.0,5.0,3.6,6.8,5.0,7.5,6.4,5.4
1995-08,8.4,5.0,3.5,6.7,5.0,7.5,6.2,5.1
1995-09,8.0,4.4,3.5,6.4,4.8,7.6,5.7,4.8
1995-10,7.7,4.1,3.5,6.3,5.1,7.6,5.7,4.7
1995-11,7.5,4.0,3.5,6.2,4.8,7.6,5.5,5.0
1995-12,7.4,4.9,3.5,7.1,5.4,7.6,6.1,6.1
1996-01,7.4,4.6,3.6,7.0,5.2,7.6,5.7,5.7
1996-02,7.8,4.5,3.6,7.0,5.0,7.6,5.6,5.5
1996-03,7.5,4.1,3.7,6.6,4.5,7.6,5.5,5.5
1996-04,7.5,4.2,3.7,6.7,4.7,7.5,5.6,5.4
1996-05,7.2,4.3,3.7,6.4,4.6,7.3,5.9,5.6
1996-06,7.7,4.4,3.8,7.0,4.5,7.2,5.9,5.7
1996-07,7.1,4.0,3.8,6.3,4.3,7.0,5.5,5.2
1996-08,7.4,4.1,3.8,6.2,4.5,6.9,5.4,4.9
1996-09,7.1,3.7,3.8,6.2,4.3,6.9,5.0,4.7
1996-10,6.9,3.6,3.7,6.3,4.4,6.8,5.4,4.6
1996-11,6.8,3.5,3.6,6.3,4.1,6.7,5.2,4.9
1996-12,6.9,4.4,3.5,7.3,4.6,6.7,5.9,5.7
1997-01,6.6,4.1,3.4,7.2,4.6,6.5,5.8,5.6
1997-02,7.1,4.1,3.3,7.0,4.4,6.4,5.8,5.4
1997-03,6.8,3.5,3.2,6.4,3.5,6.3,5.3,4.9
1997-04,6.6,3.6,3.1,6.4,4.0,6.1,5.3,4.5
1997-05,6.7,4.0,3.0,6.7,4.1,6.0,6.1,5.0
1997-06,6.6,3.9,2.9,6.8,4.1,5.9,5.7,4.8
1997-07,6.6,3.7,2.8,6.5,3.8,5.9,5.4,4.7
1997-08,7.0,3.7,2.8,6.4,3.9,5.8,5.2,4.6
1997-09,6.5,3.2,2.8,6.0,3.6,5.7,4.7,4.5
1997-10,6.1,2.9,2.8,5.6,3.4,5.6,4.5,4.6
1997-11,6.1,2.9,2.8,5.5,3.2,5.6,4.3,4.7
1997-12,6.1,3.6,2.8,6.4,3.7,5.6,4.8,5.7
1998-01,5.9,3.4,2.8,6.3,3.7,5.6,4.5,5.2
1998-02,6.6,3.4,2.9,6.2,3.9,5.6,4.5,4.9
1998-03,5.8,2.7,2.5,5.3,3.1,5.6,4.0,4.1
1998-04,5.7,2.9,2.6,5.3,3.6,5.6,4.3,4.0
1998-05,5.9,3.3,2.7,5.4,3.8,5.7,5.2,4.9
1998-06,6.0,3.2,2.7,5.6,3.9,5.7,4.9,4.5
1998-07,5.8,3.0,2.8,5.3,3.8,5.8,4.7,4.5
1998-08,6.2,3.2,2.9,5.2,4.2,5.8,4.6,4.5
1998-09,5.8,2.7,2.9,5.2,3.6,5.8,4.2,4.4
1998-10,5.3,2.6,3.0,5.0,3.6,5.7,4.0,4.3
1998-11,5.0,2.6,3.1,4.8,3.3,5.6,3.9,4.2
1998-12,5.0,3.3,3.1,5.4,3.6,5.5,4.4,4.7
1999-01,5.0,3.3,3.2,5.6,3.8,5.3,4.4,4.7
1999-02,5.2,3.1,3.3,5.2,3.6,5.2,4.3,4.3
1999-03,5.2,2.9,3.3,5.0,3.2,5.1,4.5,4.5
1999-04,4.8,2.9,3.2,4.9,3.4,5.1,4.7,4.4
1999-05,4.9,3.3,3.2,5.2,3.7,5.1,5.4,5.1
1999-06,5.2,3.3,3.1,5.6,3.8,5.1,5.4,4.8
1999-07,5.1,3.0,3.0,5.1,3.7,5.1,5.1,4.6
1999-08,5.3,3.2,3.0,5.0,4.0,5.1,5.2,4.2
1999-09,4.9,2.7,3.0,4.7,3.9,5.1,4.9,4.0
1999-10,4.4,2.6,3.0,4.4,4.1,5.1,4.7,4.0
1999-11,4.2,2.5,3.0,4.1,3.7,5.1,4.5,4.0
1999-12,4.3,3.4,3.3,5.1,4.3,5.1,4.9,4.7
2000-01,4.3,3.2,3.3,5.0,4.5,5.1,4.8,4.7
2000-02,4.8,3.0,3.3,4.8,4.3,5.1,4.7,4.7
2000-03,4.4,2.4,3.3,4.1,3.8,5.1,4.1,4.2
2000-04,4.5,2.5,3.3,4.3,4.1,5.1,4.4,4.2
2000-05,4.5,2.8,3.4,4.2,4.3,5.0,4.7,4.7
2000-06,4.7,2.8,3.4,4.6,4.4,5.0,4.6,4.6
2000-07,4.7,2.5,3.3,4.5,4.4,4.9,4.6,4.3
2000-08,4.7,2.5,3.3,4.2,4.3,4.8,4.3,4.0
2000-09,4.4,2.1,3.2,4.1,4.1,4.8,3.8,3.7
2000-10,4.1,2.1,3.2,4.1,4.3,4.7,3.8,4.2
2000-11,4.0,2.2,3.3,3.9,4.1,4.7,3.4,4.5
2000-12,4.2,3.2,3.3,4.6,4.7,4.7,4.1,5.4
2001-01,4.0,3.1,3.4,4.6,4.8,4.7,3.9,5.5
