Date,"New York, NY","Los Angeles, CA","Chicago, IL","Houston, TX","Miami, FL","Boston, MA","Phoenix, AZ","Seattle, WA"
04/30/08,401195,499583,239167,143000,244333,322067,226300,333833
05/31/08,399667,495250,239500,145167,244000,333067,226000,334483
06/30/08,401667,490833,243667,148500,245667,344167,226000,336150
07/31/08,407333,480833,248333,152167,247333,351000,221967,334817
08/31/08,414000,467500,251667,153500,250000,353333,216633,332483
09/30/08,412333,452000,249167,152467,241633,339233,208300,326400
10/31/08,401667,440000,240833,146467,231600,325900,203333,321900
11/30/08,387500,425000,233083,138633,218267,312567,196667,312831
12/31/08,378683,416333,225583,131333,211800,306667,186633,310581
01/31/09,372233,400333,220583,127650,199667,305000,174967,310914
02/28/09,368067,399500,216000,126750,191333,300000,166633,312667
03/31/09,362117,394500,215333,130250,182833,296333,163333,309317
04/30/09,356900,395833,217000,136100,176667,294833,161667,302650
05/31/09,355233,397000,220000,143315,172333,299833,160635,301817
06/30/09,358000,405150,222333,149648,174000,313500,160635,306833
07/31/09,366333,412650,225167,155148,182333,323300,159302,309683
08/31/09,372167,412317,226417,157400,185000,329967,155333,307850
09/30/09,374167,411167,224083,155233,182500,323300,152000,303850
10/31/09,370833,407000,217917,150200,174167,311083,148218,300983
11/30/09,367500,405333,210667,145967,169500,298583,146551,298317
12/31/09,361833,398333,205633,142292,166500,300750,143218,299077
01/31/10,362067,395000,203967,140275,164833,308000,141333,299170
02/28/10,363686,388333,200967,138275,161167,309833,139667,303078
03/31/10,362686,388333,202667,140117,158000,306333,140333,304451
04/30/10,361105,388333,203363,143467,154667,304917,142300,305041
05/31/10,360319,396667,208363,146433,156850,312083,143967,308596
06/30/10,367402,396667,212363,148600,159183,328417,144133,305463
07/31/10,375417,400000,215000,149967,162517,345167,141500,313130
08/31/10,385417,396667,220000,151333,162333,356083,138000,313100
09/30/10,,398333,213333,149000,158667,344667,135500,313100
10/31/10,,391667,209083,145500,157000,329000,134833,302850
11/30/10,322528,389667,197400,143067,153842,319917,134500,296417
12/31/10,,384667,195733,144733,152075,316333,133133,298083
01/31/11,367417,381333,192650,142233,147700,314167,131467,293333
02/28/11,367417,375000,192333,140833,143858,302500,130300,291665
03/31/11,364917,375000,188483,139167,137292,300833,129667,289982
04/30/11,364333,378667,187483,141083,136667,304167,129617,296315
05/31/11,361667,383333,188817,144083,141000,317667,127783,296317
06/30/11,366667,385000,195000,147417,149333,332667,126450,296000
07/31/11,373333,388000,199333,150833,153033,344833,123958,290167
08/31/11,378333,385000,203333,152000,152033,349667,122792,286833
09/30/11,380000,381667,196000,148683,147867,341333,121125,276167
10/31/11,370000,371667,186040,146183,144167,322000,119800,267333
11/30/11,356667,366667,172707,143517,140833,311000,121100,260650
12/31/11,345000,358333,167707,144167,140833,302667,122767,256727
01/31/12,340000,353333,163333,140500,140067,302333,125533,250273
02/29/12,338333,350000,159167,136517,140067,292417,127142,246957
03/31/12,338333,353333,159167,135850,139233,293417,131475,248640
04/30/12,341667,364333,165833,143317,141683,300243,137575,266260
05/31/12,347333,373667,176667,151967,146683,316160,145667,279593
06/30/12,359000,380250,189000,158633,153683,337743,151333,292167
07/31/12,367850,384250,195667,160667,160333,350917,153833,294333
08/31/12,373850,387750,199000,159667,162000,353917,154500,291000
09/30/12,370517,388167,193333,155167,162333,336333,154833,286667
